Category,Item,Quantity,Condition/Notes
Equipment,Jugs pitch machine,1,
Equipment,Practice baseballs,57,
Equipment,Practice tee balls,56,
Equipment,Softball,1,
Equipment,Wiffle / Pickleball balls,63,
Equipment,Tennis balls,33,
Equipment,Hard yellow practice balls,20,
Equipment,Little League game balls,38,26 still wrapped
Equipment,Soft compression Wilson game balls,11,10 still wrapped
Batting Helmets,Batting helmets (one size),41,"Colors: blue, black, purple, green, white; some with face guards attached"
Batting Helmets,Face guard shields,21,Mostly black; some silver still in packaging
Catcher Gear,Catcher helmets (full with face shield and neck guard),10,One still has new tags; one older in poor condition
Catcher Gear,Catcher gloves (left hand),4,
Catcher Gear,Chest protectors,14,Several in excellent condition; various sizes
Catcher Gear,Leg pads (sets),12,Several in excellent condition
Bats,Baseball bats (USA logo),12,
Bats,Tee ball bats,3,
Bats,Baseball bat (no USA logo),1,
Training,Hitting tees,11,2 still brand new in packages
Umpire Gear,External umpire vest,1,
Umpire Gear,Internal umpire vest,1,
Umpire Gear,Full helmet,1,
Umpire Gear,Older umpire masks,3,
Umpire Gear,Leg pads set,1,
Umpire Gear,Additional leg pad,1,
Field Supplies,Guide Line white field marker (bags),40-50,Stacked on pallet - exact count unavailable
Field Supplies,Infield turf (bags),30+,Stacked on pallet - exact count unavailable
Field Supplies,White spray cans,Unknown,Harold took inside to keep warm
Apparel - Jerseys,Blue jerseys (no logo) - Small Youth,14,
Apparel - Jerseys,Gray Easton youth tee,5,Wrapped in new packaging
Apparel - Jerseys,2XL youth maroon tee,1,Wrapped in new packaging
Apparel - Jerseys,Youth L blue jersey,2,Wrapped in new packaging
Apparel - Jerseys,Gray jerseys - Youth L,8,Wrapped in new packaging
Apparel - Jerseys,Yellow GB tees with numbers,10,
Apparel - Jerseys,Purple game jerseys - Youth Small,2,
Apparel - Jerseys,Purple game jerseys - Youth Medium,5,
Apparel - Jerseys,Purple game jerseys - Youth Large,8,
Apparel - Jerseys,Purple game jerseys - Youth XL,2,
Apparel - Jerseys,Purple game jerseys - Mens Small,3,
Apparel - Jerseys,Purple game jerseys - Mens Medium,3,
Apparel - Jerseys,Purple game jerseys - Mens Large,5,
Apparel - Jerseys,Purple game jerseys - Mens XL,5,
Apparel - All Stars,Purple Bucksport All Stars Henley - Youth Medium,4,Gold lettering; all but one with all star patch
Apparel - All Stars,Purple Bucksport All Stars Henley - Youth Large,7,Gold lettering; all but one with all star patch
Apparel - All Stars,Purple Bucksport All Stars Henley - Adult Small,1,Gold lettering; all but one with all star patch
Apparel - All Stars,Purple Bucksport All Stars Henley - Adult Medium,1,Gold lettering; all but one with all star patch
Apparel - All Stars,Purple all star jerseys - Adult Small,2,Most with all star patch on sleeve
Apparel - All Stars,Purple all star jerseys - Adult Medium,3,Most with all star patch on sleeve
Apparel - All Stars,Purple all star jerseys - Adult Large,1,Most with all star patch on sleeve
Apparel - All Stars,Purple all star jerseys - Adult XL,1,Most with all star patch on sleeve
Apparel - Accessories,Yellow socks (package),1,
Apparel - Accessories,Purple socks (package),1,
Apparel - Pants,Gray pants with blue piping - Youth XL,23,Most/all wrapped in new packaging
Apparel - Pants,Gray pants - Size 30,3,Wrapped in new packaging
Apparel - Accessories,Black baseball belts,11,
Apparel - Pants,Used gray pants (tote),1 tote,
Apparel - Pants,Youth S/XS gray pants (tote),1 tote,
Apparel - Pants,Medium size pant,1,In separate tote
Apparel - Tees,Purple cotton tee (Golden Bucks),16,Various youth sizes
Apparel - Tees,Gold cotton tee (Golden Bucks),12,Various youth sizes
,,,
SOFTBALL INVENTORY - Fall 2025,,,Bucksport Little League Softball
Training,Batting tee,1,
Balls,"12"" game balls (new in boxes)",35,
Balls,"11"" game balls (new in boxes)",28,
Balls,"11"" game balls (new cardboard boxes)",48,
Balls,"12"" practice balls",43,
Balls,"11"" practice balls",44,
Balls,"11"" PXS sponge core balls",23,
Balls,"12"" practice soft balls",10,
Balls,"11"" practice soft balls",7,
Balls,"12"" pitching machine balls",12,In a box
Balls,Wiffle balls,Unknown,Plastic bag
Batting Helmets,Softball helmets,14,All but one with face guard; most size 6.5-7.5; some one size/adjustable; most older; most lack current approval stickers
Bats,Softball bats,5,"Some with USSSA logo, one without; all older"
Bats,Baseball bats,2,
Bats,Tee ball bat,1,
Catcher Gear - Blue Bin,Leg pads (size 17),1,
Catcher Gear - Blue Bin,Leg pads (larger size unknown),1,
Catcher Gear - Blue Bin,Chest protectors,2,
Catcher Gear - Blue Bin,Face masks (no full helmet),2,
Catcher Gear - Black Bin,Small leg pads,1,
Catcher Gear - Black Bin,Chest protector,1,
Catcher Gear - Black Bin,Leg pads size 13 with knee savers,1,Blue; in black Rawlings bag
Catcher Gear - Black Bin,Chest protector,1,Blue; in black Rawlings bag
Catcher Gear - Black Bin,Full helmet,1,Blue; in black Rawlings bag
Catcher Gear - Easton Bag,Leg pads,1,Black Easton bag
Catcher Gear - Easton Bag,Chest protector,1,Black Easton bag
Catcher Gear - Easton Bag,Full helmet,1,Black Easton bag
Catcher Gear - Dicks Bag,Full helmet (large),1,
Catcher Gear - Dicks Bag,Knee pads,1,
Catcher Gear - Dicks Bag,Chest pads,1,
Umpire Gear - Black Sea Bag,Umpire shirt,1,
Umpire Gear - Black Sea Bag,Leg pads,1,
Umpire Gear - Black Sea Bag,Chest protector,1,
Umpire Gear - Black Sea Bag,Face masks (non-helmet style),2,
Umpire Gear - Black Sea Bag,Ball and strike counter,1,
Umpire Gear - Black Sea Bag,Plate brush,1,
Apparel - Pants (Black Bag),Girls small pants,3,Gray; some new with tags; most older/used
Apparel - Pants (Black Bag),Girls medium pants (gray),2,Some new with tags; most older/used
Apparel - Pants (Black Bag),Girls medium pants (black),1,
Apparel - Pants (Black Bag),Girls large pants,3,Gray; some new with tags; most older/used
Apparel - Pants (Black Bag),Women's medium pants,1,Gray
Apparel - Pants (Black Bag),Women's XL pants,1,Gray
Apparel - Coaches,Bennett Painting coaches jerseys (adult),4,
Catcher Gear,Knee savers,Several,Attached to various catcher knee pads
Donated Bin - Gloves,Left handed gloves (catch with left hand),5,Various sizes
Donated Bin - Cleats,Cleats,10 sets,"Sizes 1-8.5 youth; mostly good condition, some older/poor"
Field Supplies,Dura Stripe marking paint cans,11-Oct,Open case
First Aid,Red first aid kits,4,Very close to full with bandages and basic essentials
First Aid,Blue first aid kit,1,Very close to full with bandages and basic essentials
